Date,Open,High,Low,Close,Volume
2010-01-04,30.40381575778749,30.80747100801182,30.389399204242718,30.785844802856445,70761600.0
2010-01-05,30.93002387197332,31.117433667365802,30.821901038303658,31.009313583374023,50196300.0
2010-01-06,31.052559046452025,31.20392879327472,31.002099714500282,31.074182510375977,50670000.0
2010-01-07,30.886776092440428,30.980482370751695,30.720989753691605,30.893985748291016,41803700.0
2010-01-08,30.908401487249513,31.153477535760313,30.807488305452942,31.139060974121094,41118100.0
2010-01-11,31.31925851699832,31.33367507617346,30.92281276355328,31.074182510375977,42546400.0
2010-01-12,30.713782056434155,30.778655209028262,30.418249416767225,30.576826095581055,65902300.0
2010-01-13,30.699359622304716,30.778649321383302,30.382203575667827,30.6705265045166,48040100.0
2010-01-14,30.648906170663913,30.72098622281705,30.540783342756477,30.59123992919922,52893800.0
2010-01-15,30.50473269438813,30.54798236042635,30.151536712278077,30.238033294677734,76681800.0
2010-01-18,,,,,
2010-01-19,30.33174662319961,30.85072898864746,30.324536969002082,30.85072898864746,57597300.0
2010-01-20,30.35336952765856,30.35336952765856,29.86321753899183,30.108293533325195,78934700.0
2010-01-21,29.949717877181183,30.04342414397482,29.178449776649625,29.2000732421875,116104300.0
2010-01-22,28.99103937222373,29.084742887334052,28.493677678076338,28.55134391784668,108173800.0
2010-01-25,28.926162268697446,29.063115444893107,28.59458693475028,28.7603759765625,86170400.0
2010-01-26,28.205351420360945,28.544130915408164,25.81225774410466,28.16210174560547,89832400.0
2010-01-27,27.960288151240192,28.198154596430136,27.664755446805056,28.09003448486328,91623300.0
2010-01-28,28.342312976916464,28.45764272734395,27.650334474351553,27.895410537719727,98086600.0
2010-01-29,28.219768833330846,28.29905578160132,27.44850081640077,27.592660903930664,151695100.0
2010-02-01,27.85215317929283,28.363928634009525,27.830529716317514,28.335098266601562,81928100.0
2010-02-02,28.392765589937493,28.62342505845181,28.126066095032392,28.56576156616211,86791200.0
2010-02-03,28.572966128007323,28.702712412114526,28.306266654976984,28.399972915649414,64323800.0
2010-02-04,27.931439978799123,27.96747999657828,27.102505821492954,27.11692237854004,131791500.0
2010-02-05,26.879066883578673,26.958356604422928,26.07896551822769,26.814193725585938,165899900.0
2010-02-08,26.79977016877875,27.016013055762063,26.54027760452778,26.547487258911133,78752400.0
2010-02-09,27.196221212777292,27.657540194704048,26.97997828370888,27.412464141845703,133342000.0
2010-02-10,27.419673243644407,27.5998761391736,27.037641235341503,27.340383529663086,84646000.0
2010-02-11,27.527789845749346,28.090024678394595,27.297130388650952,28.06119155883789,90206600.0
2010-02-12,27.491745872750645,27.808904642968496,27.297126468210752,27.707988739013672,63053000.0
2010-02-15,,,,,
2010-02-16,28.126065821434228,28.443221900136816,27.931446381203866,28.421598434448242,73196700.0
2010-02-17,28.6378345121554,28.659457972688223,28.349511622901826,28.522504806518555,63631100.0
